bedrooms,bathrooms,toilets,parking_space,title,town,state,price
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,120000000.0
4.0,4.0,5.0,6.0,Detached Duplex,Ajah,Lagos,40000000.0
4.0,4.0,5.0,2.0,Semi Detached Duplex,Lekki,Lagos,75000000.0
5.0,5.0,6.0,1.0,Detached Duplex,Lekki,Lagos,450000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,65000000.0
2.0,2.0,3.0,6.0,Detached Bungalow,Epe,Lagos,12000000.0
1.0,1.0,1.0,1.0,Detached Duplex,Lekki,Lagos,200000000.0
4.0,4.0,5.0,5.0,Detached Duplex,Ajah,Lagos,60000000.0
4.0,5.0,6.0,3.0,Semi Detached Duplex,Lekki,Lagos,65000000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,70000000.0
6.0,6.0,7.0,4.0,Detached Duplex,Victoria Island (VI),Lagos,450000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,48000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Victoria Island (VI),Lagos,170000000.0
3.0,3.0,4.0,2.0,Block of Flats,Ikeja,Lagos,350000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,85000000.0
3.0,3.0,4.0,4.0,Terraced Duplexes,Lekki,Lagos,34000000.0
4.0,5.0,5.0,2.0,Terraced Duplexes,Victoria Island (VI),Lagos,130000000.0
4.0,4.0,5.0,3.0,Detached Duplex,Ajah,Lagos,60000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,270000000.0
5.0,6.0,5.0,4.0,Detached Duplex,Lekki,Lagos,250000000.0
4.0,4.0,5.0,5.0,Detached Duplex,Lekki,Lagos,180000000.0
4.0,4.0,5.0,2.0,Semi Detached Duplex,Lekki,Lagos,75000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,270000000.0
6.0,8.0,8.0,3.0,Detached Duplex,Ikoyi,Lagos,850000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Magodo,Lagos,140000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Ikoyi,Lagos,700000000.0
3.0,5.0,5.0,4.0,Terraced Duplexes,Ajah,Lagos,40000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,120000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,55000000.0
2.0,2.0,3.0,2.0,Block of Flats,Lekki,Lagos,30000000.0
2.0,2.0,3.0,4.0,Terraced Duplexes,Lekki,Lagos,53000000.0
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,270000000.0
3.0,3.0,4.0,4.0,Block of Flats,Lekki,Lagos,25500000.0
5.0,5.0,6.0,4.0,Detached Duplex,Magodo,Lagos,235000000.0
3.0,3.0,4.0,3.0,Terraced Duplexes,Lekki,Lagos,65000000.0
4.0,4.0,4.0,3.0,Terraced Duplexes,Lekki,Lagos,55000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,120000000.0
4.0,5.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,69000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,105000000.0
4.0,4.0,5.0,3.0,Semi Detached Duplex,Ajah,Lagos,60000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Ikoyi,Lagos,1100000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,105000000.0
4.0,5.0,5.0,4.0,Semi Detached Duplex,Ajah,Lagos,60000000.0
5.0,6.0,7.0,4.0,Detached Duplex,Lekki,Lagos,150000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Ajah,Lagos,75000000.0
2.0,3.0,3.0,3.0,Semi Detached Bungalow,Ibeju Lekki,Lagos,12000000.0
5.0,5.0,6.0,2.0,Detached Duplex,Lekki,Lagos,110000000.0
2.0,2.0,3.0,1.0,Semi Detached Bungalow,Epe,Lagos,12000000.0
5.0,5.0,6.0,6.0,Detached Duplex,Lekki,Lagos,330000000.0
4.0,4.0,5.0,3.0,Semi Detached Duplex,Ajah,Lagos,45000000.0
4.0,4.0,4.0,5.0,Detached Duplex,Ajah,Lagos,50000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,135000000.0
4.0,2.0,2.0,4.0,Semi Detached Bungalow,Yaba,Lagos,40000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,280000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,150000000.0
4.0,5.0,5.0,4.0,Block of Flats,Ikoyi,Lagos,650000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,85000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,155000000.0
3.0,3.0,4.0,4.0,Detached Bungalow,Ifako-Ijaiye,Lagos,12500000.0
4.0,4.0,5.0,4.0,Detached Duplex,Agege,Lagos,60000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,105000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,100000000.0
2.0,5.0,5.0,4.0,Block of Flats,Ikorodu,Lagos,22500000.0
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,70000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,145000000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,61000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,110000000.0
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,260000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Ajah,Lagos,29800000.0
4.0,5.0,6.0,4.0,Terraced Duplexes,Lekki,Lagos,145000000.0
4.0,4.0,5.0,5.0,Semi Detached Duplex,Lekki,Lagos,150000000.0
4.0,4.0,5.0,3.0,Detached Duplex,Lekki,Lagos,80000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Ajah,Lagos,45000000.0
4.0,4.0,5.0,3.0,Semi Detached Duplex,Lekki,Lagos,75000000.0
4.0,4.0,5.0,3.0,Detached Duplex,Ikeja,Lagos,60000000.0
3.0,5.0,5.0,4.0,Terraced Duplexes,Ajah,Lagos,42000000.0
3.0,3.0,4.0,3.0,Terraced Bungalow,Lekki,Lagos,36436500.0
3.0,5.0,5.0,4.0,Block of Flats,Magodo,Lagos,55000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Ikoyi,Lagos,1100000000.0
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,260000000.0
4.0,5.0,5.0,6.0,Detached Duplex,Lekki,Lagos,70000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,90000000.0
5.0,6.0,7.0,5.0,Detached Duplex,Lekki,Lagos,470000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Isheri North,Lagos,40000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Ajah,Lagos,90000000.0
5.0,5.0,6.0,1.0,Detached Duplex,Lekki,Lagos,200000000.0
4.0,5.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,70000000.0
2.0,5.0,9.0,4.0,Detached Bungalow,Ibeju Lekki,Lagos,30000000.0
5.0,6.0,7.0,4.0,Detached Duplex,Lekki,Lagos,120000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Ajah,Lagos,70000000.0
5.0,5.0,6.0,6.0,Detached Duplex,Lekki,Lagos,325000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,130000000.0
3.0,3.0,4.0,3.0,Semi Detached Duplex,Ajah,Lagos,50000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Ajah,Lagos,65000000.0
6.0,6.0,7.0,5.0,Detached Duplex,Isheri,Lagos,140000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,80000000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Ikoyi,Lagos,240000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,110000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,450000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,500000000.0
3.0,4.0,4.0,4.0,Terraced Duplexes,Ikoyi,Lagos,240000000.0
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,120000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Victoria Island (VI),Lagos,115000000.0
5.0,7.0,7.0,7.0,Detached Duplex,Lekki,Lagos,450000000.0
4.0,4.0,4.0,3.0,Terraced Duplexes,Ikeja,Lagos,180000000.0
6.0,6.0,7.0,4.0,Detached Duplex,Lekki,Lagos,275000000.0
4.0,4.0,5.0,7.0,Detached Duplex,Lekki,Lagos,190000000.0
3.0,3.0,3.0,4.0,Detached Bungalow,Ipaja,Lagos,24000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Magodo,Lagos,75000000.0
5.0,5.0,6.0,1.0,Detached Duplex,Lekki,Lagos,250000000.0
6.0,6.0,7.0,6.0,Detached Duplex,Ikoyi,Lagos,1300000000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Ajah,Lagos,48000000.0
3.0,3.0,4.0,2.0,Detached Bungalow,Ajah,Lagos,42000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Magodo,Lagos,85000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,90000000.0
4.0,4.0,5.0,3.0,Semi Detached Duplex,Lekki,Lagos,65000000.0
3.0,2.0,2.0,2.0,Block of Flats,Ikeja,Lagos,300000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,70000000.0
3.0,3.0,4.0,3.0,Semi Detached Duplex,Magodo,Lagos,85000000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,75000000.0
4.0,5.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,80000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,160000000.0
3.0,4.0,5.0,6.0,Detached Bungalow,Ibeju Lekki,Lagos,20000000.0
4.0,4.0,5.0,3.0,Detached Duplex,Lekki,Lagos,75000000.0
5.0,5.0,6.0,3.0,Terraced Duplexes,Lekki,Lagos,65000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,85000000.0
3.0,4.0,4.0,4.0,Terraced Duplexes,Lekki,Lagos,36000000.0
5.0,5.0,6.0,3.0,Detached Duplex,Ikoyi,Lagos,375000000.0
5.0,7.0,8.0,6.0,Detached Duplex,Lekki,Lagos,300000000.0
1.0,5.0,5.0,4.0,Detached Bungalow,Mushin,Lagos,30000000.0
3.0,3.0,4.0,4.0,Block of Flats,Ejigbo,Lagos,55000000.0
9.0,9.0,1.0,1.0,Detached Duplex,Isolo,Lagos,70000000.0
4.0,5.0,5.0,3.0,Terraced Duplexes,Ikoyi,Lagos,240000000.0
3.0,2.0,2.0,2.0,Detached Bungalow,Agege,Lagos,8000000.0
3.0,5.0,3.0,4.0,Terraced Duplexes,Lekki,Lagos,32000000.0
3.0,3.0,4.0,4.0,Detached Bungalow,Ojodu,Lagos,16000000.0
4.0,4.0,5.0,3.0,Terraced Duplexes,Lekki,Lagos,85000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Ajah,Lagos,45000000.0
4.0,4.0,5.0,2.0,Semi Detached Duplex,Lekki,Lagos,60000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Ikoyi,Lagos,600000000.0
3.0,3.0,4.0,4.0,Terraced Duplexes,Ajah,Lagos,34900000.0
5.0,4.0,5.0,3.0,Detached Duplex,Ajah,Lagos,68000000.0
2.0,5.0,5.0,4.0,Terraced Duplexes,Ajah,Lagos,35000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,1350000000.0
4.0,4.0,5.0,3.0,Terraced Duplexes,Ikoyi,Lagos,380000000.0
5.0,6.0,7.0,5.0,Detached Duplex,Lekki,Lagos,120000000.0
7.0,7.0,8.0,4.0,Detached Duplex,Lekki,Lagos,200000000.0
3.0,4.0,4.0,3.0,Detached Bungalow,Lekki,Lagos,33000000.0
8.0,8.0,8.0,4.0,Detached Duplex,Lekki,Lagos,45000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Ikoyi,Lagos,1100000000.0
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,110000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,90000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,250000000.0
3.0,3.0,4.0,4.0,Detached Bungalow,Ajah,Lagos,45000000.0
4.0,4.0,5.0,3.0,Semi Detached Duplex,Lekki,Lagos,65000000.0
5.0,6.0,7.0,3.0,Detached Duplex,Lekki,Lagos,70000000.0
1.0,5.0,5.0,1.0,Block of Flats,Ikorodu,Lagos,20000000.0
4.0,5.0,5.0,4.0,Block of Flats,Victoria Island (VI),Lagos,830000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,160000000.0
4.0,4.0,5.0,3.0,Terraced Duplexes,Victoria Island (VI),Lagos,180000000.0
2.0,2.0,2.0,4.0,Detached Bungalow,Alimosho,Lagos,10000000.0
4.0,4.0,5.0,5.0,Detached Duplex,Ajah,Lagos,65000000.0
3.0,3.0,4.0,5.0,Detached Bungalow,Ikorodu,Lagos,4000000.0
4.0,5.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,80000000.0
6.0,6.0,7.0,6.0,Detached Duplex,Ikoyi,Lagos,1300000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,450000000.0
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,55000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,74000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Ajah,Lagos,75000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Ojodu,Lagos,85000000.0
4.0,4.0,4.0,3.0,Terraced Duplexes,Ikeja,Lagos,180000000.0
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,120000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,125000000.0
4.0,4.0,4.0,4.0,Detached Duplex,Lekki,Lagos,65000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Ikoyi,Lagos,1500000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,75000000.0
5.0,7.0,7.0,8.0,Semi Detached Duplex,Lekki,Lagos,80000000.0
3.0,3.0,4.0,3.0,Terraced Duplexes,Lekki,Lagos,45000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Ajah,Lagos,35000000.0
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,47000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,145000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Ajah,Lagos,95000000.0
5.0,5.0,6.0,3.0,Semi Detached Duplex,Lekki,Lagos,160000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,150000000.0
4.0,4.0,5.0,2.0,Semi Detached Duplex,Lekki,Lagos,70000000.0
4.0,6.0,6.0,4.0,Semi Detached Duplex,Ikoyi,Lagos,240000000.0
4.0,5.0,5.0,4.0,Block of Flats,Magodo,Lagos,30000000.0
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,450000000.0
4.0,5.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,140000000.0
2.0,3.0,3.0,4.0,Block of Flats,Lekki,Lagos,65000000.0
6.0,6.0,7.0,6.0,Detached Duplex,Ikeja,Lagos,450000000.0
5.0,5.0,7.0,6.0,Detached Duplex,Ikoyi,Lagos,1150000000.0
4.0,5.0,5.0,3.0,Detached Duplex,Lekki,Lagos,85000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,80000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Magodo,Lagos,235000000.0
4.0,4.0,5.0,2.0,Detached Duplex,Lekki,Lagos,70000000.0
4.0,4.0,5.0,3.0,Semi Detached Duplex,Lekki,Lagos,82000000.0
4.0,5.0,5.0,4.0,Detached Bungalow,Shomolu,Lagos,45000000.0
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,55000000.0
2.0,3.0,3.0,3.0,Block of Flats,Lekki,Lagos,50000000.0
5.0,5.0,6.0,8.0,Detached Duplex,Lekki,Lagos,150000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Ikeja,Lagos,130000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,190000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,125000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,90000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,350000000.0
5.0,5.0,6.0,6.0,Detached Duplex,Ikoyi,Lagos,850000000.0
4.0,4.0,5.0,1.0,Terraced Duplexes,Ogudu,Lagos,75000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Ikeja,Lagos,250000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Ikoyi,Lagos,400000000.0
3.0,3.0,3.0,4.0,Terraced Duplexes,Lekki,Lagos,31000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,125000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,100000000.0
5.0,5.0,6.0,3.0,Terraced Duplexes,Ikoyi,Lagos,185000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Ikoyi,Lagos,550000000.0
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,150000000.0
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,160000000.0
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,90000000.0
